id,created_at,updated_at,post_id,prolific_id,session_id,condition,label
31,2024-10-15 17:36:12.637830+00:00,2024-10-15 17:36:12.637916+00:00,2663,66059aa0ce526bb967a61359,670ea7b0a139bbc8ce390731,label,2
32,2024-10-15 17:36:49.669281+00:00,2024-10-15 17:36:49.669348+00:00,2864,6647d385a03fca12ce7acc45,670ea7e1ebf53cf8ec59a194,no label,1
33,2024-10-15 17:37:01.790348+00:00,2024-10-15 17:37:01.790445+00:00,2445,5ce158b01d1060001a810a2d,670ea7e28cc653fcbf4b0c3c,label,2
34,2024-10-15 17:37:23.694229+00:00,2024-10-15 17:37:23.694298+00:00,2384,66da5b1cc2d9c3b39947324a,670ea81bb4e438ae46a92bd6,no label,1
35,2024-10-15 17:37:49.423864+00:00,2024-10-15 17:37:49.423960+00:00,2782,5d6c5cca8cb0f70001b1fac5,670ea843b0cb7bdc88c976e8,no label,1
36,2024-10-15 17:37:52.191788+00:00,2024-10-15 17:37:52.191883+00:00,2222,5a7e2829000dab00018c6081,670ea81ef8e780563c5d6886,no label,1
37,2024-10-15 17:39:03.519559+00:00,2024-10-15 17:39:03.519656+00:00,2244,5ea90125117dae3737b5e552,670ea83285b272bd88390543,no label,2
38,2024-10-15 17:41:27.274656+00:00,2024-10-15 17:41:27.274764+00:00,2354,61019fe1c6bc61fafe1c74fe,670ea91285b272bd8839057d,label,3
39,2024-10-15 17:43:52.997317+00:00,2024-10-15 17:43:52.997414+00:00,2650,5ecf40ccb218ec372490e3ea,670ea97bc56d28c4636cc8be,label,2
40,2024-10-15 17:44:40.522469+00:00,2024-10-15 17:44:40.522566+00:00,2920,60da4f9aa1ced7efeecca18a,670ea9b6f1a48a783a00ca0b,no label,1
41,2024-10-15 17:45:05.832642+00:00,2024-10-15 17:45:05.832756+00:00,2909,66350b4dc4c3fa6f738acc88,670ea9b78ce36e124113d8b8,no label,2
42,2024-10-15 17:45:35.068431+00:00,2024-10-15 17:45:35.068528+00:00,2434,5d76bf508da7af001b5fa26c,670eaa0dfb0c5edbfa3e125a,label,1
43,2024-10-15 17:45:36.313573+00:00,2024-10-15 17:45:36.313639+00:00,2098,5eace152e25d6800091dd418,670ea967a12f4285dba2ccca,no label,2
44,2024-10-15 17:46:13.911242+00:00,2024-10-15 17:46:13.911310+00:00,2204,5cb6d1aff4315f0001617ed5,670ea98d786618ac1b2f3b43,no label,1
45,2024-10-15 17:46:23.386095+00:00,2024-10-15 17:46:23.386184+00:00,2062,64c006c43b26c6796d9f6a23,670eaa2bb47a97b5a8d3a04b,no label,1
46,2024-10-15 17:46:43.378099+00:00,2024-10-15 17:46:43.378195+00:00,2733,5d3caf9429130a00015cd0e3,670eaa11d2c50aa0e5a2c288,label,4
47,2024-10-15 17:46:59.172995+00:00,2024-10-15 17:46:59.173088+00:00,2261,600db78b56935a5dd8c759b3,670eaa4da4196b9c4e920a3b,label,1
48,2024-10-15 17:47:29.813339+00:00,2024-10-15 17:47:29.813431+00:00,2154,670943e54e0bd42bf3fa289f,670eaa69578dbcda3b0272b1,label,4
49,2024-10-15 17:47:32.924706+00:00,2024-10-15 17:47:32.924778+00:00,2560,663d214a09420dbd2ba3efde,670eaa6160cef01c576e6928,label,1
50,2024-10-15 17:47:43.561229+00:00,2024-10-15 17:47:43.561323+00:00,2014,61001d9b2e3d8a75a09f3db3,670eaa61a764a8dfeb056904,no label,1
